Genre,Entry,Film,Director,Leading actors,Year of cinema release,No of Oscars won,IMDB link,Guardian film page,Country,
Comedy,5,Comedy,Dr Strangelove,Stanley Kubrick,"George C Scott, Peter Sellers, Sterling Hayden",1964,,http://www.imdb.com/title/tt0057012/,http://www.guardian.co.uk/film/movie/76390/dr-strangelove,UK
Comedy,5,Comedy,The Ladykillers,Alexander Mackendrick,"Alec Guinness, Cecil Parker, Herbert Lom, Peter Sellers",1955,,http://www.imdb.com/title/tt0048281/,http://www.guardian.co.uk/film/movie/36206/ladykillers,UK
Comedy,7,Comedy,Duck Soup,Leo McCarey,"Chico Marx, Groucho Marx, Harpo Marx, Margaret Dumont, The Marx Brothers, Zeppo Marx",1933,,http://www.imdb.com/title/tt0023969/,http://www.guardian.co.uk/film/movie/36133/duck.soup,USA
Comedy,7,Comedy,Rushmore,Wes Anderson," Bill Murray, Brian Cox, Jason Schwartzman, Olivia Williams",1998,,http://www.imdb.com/title/tt0128445/,http://www.guardian.co.uk/film/movie/79577/rushmore,USA
Comedy,9,Comedy,Kind Hearts & Coronets,Robert Hamer,"Alec Guinness, Dennis Price, Joan Greenwood",1949,,http://www.imdb.com/title/tt0041546/,http://www.guardian.co.uk/film/movie/36180/kind-hearts-and-coronets,UK
Comedy,10,Comedy,Monty Python's Life of Brian,Terry Jones,"Eric Idle, Graham Chapman, John Cleese, Michael Palin, Terry Gilliam, Terry Jones",1979,,http://www.imdb.com/title/tt0079470/,http://www.guardian.co.uk/film/movie/78168/monty-python-s-life-of-brian,UK
Comedy,11,Comedy,Airplane!,"Jim Abrahams, David Zucker and Jerry Zucker","Julie Hagerty, Leslie Nielsen, Robert Hays",1980,,http://www.imdb.com/title/tt0080339/,http://www.guardian.co.uk/film/movie/83228,USA
Comedy,12,Comedy,Election,Alexander Payne,"Chris Klein, Matthew Broderick, Reese Witherspoon",1999,,http://www.imdb.com/title/tt0126886/,http://www.guardian.co.uk/film/movie/79657/election,USA
Comedy,12,Comedy,His Girl Friday,Howard Hawkes,"Cary Grant, Gene Lockhart, Ralph Bellamy, Rosalind Russell",1940,,http://www.imdb.com/title/tt0032599/,http://www.guardian.co.uk/film/movie/76369/his-girl-friday,USA
Comedy,12,Comedy,The Big Lebowski,Joel Coen,"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi",1998,,http://www.imdb.com/title/tt0118715/,http://www.guardian.co.uk/film/movie/77069/big.lebowski,USA
Comedy,15,Comedy,This Is Spinal Tap,Rob Reiner," Christopher Guest, Harry Shearer, Michael McKean, Rob Reiner",1984,,http://www.imdb.com/title/tt0088258/,http://www.guardian.co.uk/film/movie/81384/this.is.spinal.tap,USA
Comedy,16,Comedy,Bringing Up Baby,Howard Hawkes,"Cary Grant, Katharine Hepburn, Katherine Hepburn",1938,,http://www.imdb.com/title/tt0029947/,http://www.guardian.co.uk/film/movie/36143/bringing-up-baby,USA
Comedy,17,Comedy,There's Something About Mary,Peter & Bob Farrelly,"Ben Stiller, Cameron Diaz, Lee Evans, Matt Dillon",1998,,http://www.imdb.com/title/tt0129387/,http://www.guardian.co.uk/film/movie/34359/there.s.something.about.mary,USA
Comedy,18,Comedy,Dazed and Confused,Richard Linklater,"Adam Goldberg, Jason London, Joey Lauren Adams, Joey Lauren Adams, Milla Jovovich, Rory Cochrane, Shawn Andrew",1993,,http://www.imdb.com/title/tt0106677/,http://www.guardian.co.uk/film/movie/49047/dazed-and-confused,USA
Comedy,18,Comedy,MASH,Robert Altman,"Donald Sutherland, Elliott Gould, Sally Kellerman",1970,1,http://www.imdb.com/title/tt0066026/,http://www.guardian.co.uk/film/movie/84547,USA
Comedy,20,Comedy,Groundhog Day,Harold Ramis,"Andie MacDowell, Bill Murray, Chris Elliott, Stephen Tobolowsky",1993,,http://www.imdb.com/title/tt0107048/,http://www.guardian.co.uk/film/movie/79383/groundhog-day,USA
Comedy,21,Comedy,Clueless,Amy Heckerling,"Alicia Silverstone, Dan Hedaya, Stacey Dash",1995,,http://www.imdb.com/title/tt0112697/,http://www.guardian.co.uk/film/movie/59257/clueless,USA
Comedy,22,Comedy,The Great Dictator,Charlie Chaplin,"Charlie Chaplin, Jack Oakie, Paulette Goddard",1940,,http://www.imdb.com/title/tt0032553/,http://www.guardian.co.uk/film/movie/96585/great.dictator,USA
Comedy,23,Comedy,Clerks,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti",1994,,http://www.imdb.com/title/tt0109445/,http://www.guardian.co.uk/film/movie/53831/clerks,USA
Comedy,24,Comedy,The Jerk,Carl Reiner,Steve Martin,1979,,http://www.imdb.com/title/tt0079367/,http://www.guardian.co.uk/film/movie/88834/jerk,USA
Comedy,25,Comedy,Shaun of the Dead,Edgar Wright,"Dylan Moran, Kate Ashfield, Nick Frost, Simon Pegg",2004,,http://www.imdb.com/title/tt0365748/,http://www.guardian.co.uk/film/movie/99960/shaun.of.the.dead,UK
Action,1,Apocalypse Now,Francis Coppola,"Dennis Hopper, Frederic Forrest, Laurence Fishburne, Marlon Brando, Martin Sheen, Robert Duvall, Rpobert Duvall",1979,2,http://www.imdb.com/title/tt0078788/,http://www.guardian.co.uk/film/movie/36320/apocalypse.now,USA,
Action,2,North by Northwest,Alfred Hitchcock," Cary Grant, Eva Marie Saint, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G Carroll, Martin Landau",1959,,http://www.imdb.com/title/tt0053125/,http://www.guardian.co.uk/film/movie/35095/north-by-northwest,USA,
Action,3,Once Upon a Time in the West,Sergio Leone,"Charles Bronson, Claudia Cardinale, Henry Fonda, Jason Robards",1968,,http://www.imdb.com/title/tt0064116/,http://www.guardian.co.uk/film/movie/36274/once.upon.a.time.in.the.west,Italy,
Action,4,The Wild Bunch,Sam Pekinpah,"Ernest Borgnine, Robert Ryan, William Holden",1969,,http://www.imdb.com/title/tt0065214/,http://www.guardian.co.uk/film/movie/36285/wild.bunch,USA,
Action,5,Deliverance,John Boorman ,"Burt Reynolds, Jon Voight, Ned Beatty",1972,,http://www.imdb.com/title/tt0068473/,http://www.guardian.co.uk/film/movie/76560/deliverance,USA,
Action,6,City of God,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino da Hora, Matheus Nachtergaele, Phelipe Haagensen",2002,,http://www.imdb.com/title/tt0317248/,http://www.guardian.co.uk/film/movie/94028/city.of.god,Brazil,
Action,7,Paths of Glory,Stanley Kubrick,"Adolphe Menjou, Kirk Douglas, Ralph Meeker",1957,,http://www.imdb.com/title/tt0050825/,http://www.guardian.co.uk/film/movie/76931/paths.of.glory,USA,
Action,7,The Wages of Fear,Henri-Georges Clouzot,"Charles Vanel, Folco Lulli, Yves Montand",1953,,http://www.imdb.com/title/tt0046268/,http://www.guardian.co.uk/film/movie/78592/wages-of-fear,France,
Action,9,Crouching Tiger Hidden Dragon,Ang Lee,"Chang Chen, Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Ziyi Zhang",2000,4,http://www.imdb.com/title/tt0190332/,http://www.guardian.co.uk/film/movie/86383/crouching.tiger.hidden.dragon,Taiwan,
Action,10,The Thin Red Line,Terrence Malik,"Adrien Brody, Ben Chaplin, Nick Nolte, Sean Penn",1998,,http://www.imdb.com/title/tt0120863/,http://www.guardian.co.uk/film/movie/74795/thin.red.line,USA,
Action,11,Raiders of the Lost Ark,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey",1981,4,http://www.imdb.com/title/tt0082971/,http://www.guardian.co.uk/film/movie/36332/raiders-of-the-lost-ark,USA,
Action,12,Bullitt,Peter Yates,"Jacqueline Bisset, Robert Vaughn, Steve McQueen",1968,1,http://www.imdb.com/title/tt0062765/,http://www.guardian.co.uk/film/movie/76966/bullitt,USA,
Action,12,Ran,Akira Kurosawa,"Akira Terao, Daisuke Ryu, Mieko Harada, Tatsuya Nakadai",1985,1,http://www.imdb.com/title/tt0089881/,http://www.guardian.co.uk/film/movie/76633/ran,Japan,
Action,14,Die Hard,John McTeirnan,"Alan Rickman, Bonnie Bedelia, Bruce Willis",1988,,http://www.imdb.com/title/tt0095016/,http://www.guardian.co.uk/film/movie/80851/die-hard,Japan,
Action,15,The Adventures of Robin Hood,"Michael Curtiz, William Keighley","Basil Rathbone, Claude Rains, Errol Flynn, Olivia De Havilland, Olivia de Havilland, William Keighley",1938,3,http://www.imdb.com/title/tt0029843/,http://www.guardian.co.uk/film/movie/34500/adventures-of-robin-hood,USA,
Action,16,The Searchers,John Ford,"Jeffrey Hunter, John Wayne, Natalie Wood, Vera Miles, Ward Bond",1956,,http://www.imdb.com/title/tt0049730/,http://www.guardian.co.uk/film/movie/115097/searchers,USA,
Action,17,Goldfinger,Guy Hamilton," Bernard Lee, Gert Frobe, Harold Sakata, Honor Blackman, Lois Maxwell, Sean Connery, Shirley Eaton, Tania Mallet",1964,1,http://www.imdb.com/title/tt0058150/,http://www.guardian.co.uk/film/movie/79341/goldfinger,UK,
Action,18,Full Metal Jacket,Stanley Kubrick,"Adam Baldwin, Lee Ermey, Matthew Modine, Vincent D'Onofrio",1987,,http://www.imdb.com/title/tt0093058/,http://www.guardian.co.uk/film/movie/76429/full-metal-jacket,USA,
Action,18,Last of the Mohicans,Michael Mann,"Daniel Day-Lewis, Jodhi May, Madeleine Stowe",1992,1,http://www.imdb.com/title/tt0104691/,http://www.guardian.co.uk/film/movie/79330/last-of-the-mohicans,,
Action,20,Deer Hunter,Michael Cimino,"Christopher Walken, Meryl Streep, Robert De Niro",1978,5,http://www.imdb.com/title/tt0077416/,http://www.guardian.co.uk/film/movie/36318/deer-hunter,USA,
Action,21,Gladiator,Ridley Scott,"Connie Nielsen, Joaquin Phoenix, Oliver Reed, Russell Crowe",2000,5,http://www.imdb.com/title/tt0172495/,http://www.guardian.co.uk/film/movie/83550/gladiator,USA,
Action,22,Rome Open City,Roberto Rossellini,"Aldo Fabrizi, Anna Magnani, Marcello Pagliero",1945,,http://www.imdb.com/title/tt0038890/,http://www.guardian.co.uk/film/movie/78859/rome-open-city,Italy,
Action,23,Butch Cassidy,George Roy Hill,"Katharine Ross, Paul Newman, Robert Redford",1969,4,http://www.imdb.com/title/tt0064115/,http://www.guardian.co.uk/film/movie/36276/butch-cassidy-and-the-sundance-kid,USA,
Action,23,Where Eagles Dare,Brian G. Hutton,"Clint Eastwood, Mary Ure, Richard Burton",1968,,http://www.imdb.com/title/tt0065207/,http://www.guardian.co.uk/film/movie/83199/where-eagles-dare,USA,
Action,25,The Incredibles,Brad Bird,"Craig T Nelson, Holly Hunter, Jason Lee, Samuel L Jackson",2004,2,http://www.imdb.com/title/tt0317705/,http://www.guardian.co.uk/film/movie/102423/incredibles,USA,
Drama,1,Andrei Rublev,Andrei Tarkovsky,"Anatoli Solonitsyn, Andrei Mikhalkov-Konchalovsky, Andrei Tarkovsky, Ivan Lapikov, Nikolai Grinko",1966,,http://www.imdb.com/title/tt0060107/,http://www.guardian.co.uk/film/movie/76518/andrei.rublev,Soviet Union,
Drama,2,Mulholland Dr,David Lynch,"Justin Theroux, Laura Harring, Naomi Watts",2001,,http://www.imdb.com/title/tt0166924/,http://www.guardian.co.uk/film/movie/90677/mulholland.drive,France,
Drama,3,L'Atalante,Jean Vigo,"Dita Parlo, Jean Daste, Michel Simon",1934,,http://www.imdb.com/title/tt0024844/,http://www.guardian.co.uk/film/movie/105996/atalante,France,
Drama,4,Tokyo Story,Yasujiro Ozu," Chieko Higashiyama, Chishu Ryu, Setsuko Hara, Toru Abu",1953,,http://www.imdb.com/title/tt0046438/,http://www.guardian.co.uk/film/movie/36199/tokyo.story,Japan,
Drama,5,Citizen Kane,Orson Welles," Dorothy Comingore, Everett Sloane, Joseph Cotten, Orson Welles",1941,1,http://www.imdb.com/title/tt0033467/,http://www.guardian.co.uk/film/movie/76006/citizen.kane,USA,
Drama,6,A Clockwork Orange,Stanley Kubrick,"Adrienne Corri, Malcolm McDowell, Michael Bates, Patrick Magee, Warren Clarke",1971,,http://www.imdb.com/title/tt0066921/,http://www.guardian.co.uk/film/movie/75644/clockwork.orange,USA,
Drama,7,Days of Heaven,Terrence Malik,"Brooke Adams, Richard Gere, Sam Shepard",1978,1,http://www.imdb.com/title/tt0077405/,http://www.guardian.co.uk/film/movie/76235/days-of-heaven,USA,
Drama,8,Wild Strawberries,Ingmar Bergman,"Bibi Anderson, Bibi Andersson, Gunnar Bjornstrand, Ingrid Thulin, Victor Sjostrom",1957,,http://www.imdb.com/title/tt0050986/,http://www.guardian.co.uk/film/movie/79108/wild-strawberries,Sweden,
Drama,9,White Ribbon,Michael Haneke,"Burghart Klaussner, Christian Friedel, Josef Bierbichler, Susanne Lothar, Ulrich Tukur",2009,,http://www.imdb.com/title/tt1149362/,http://www.guardian.co.uk/film/movie/130013/white-ribbon,Germany,
Drama,10,The Gospel According to St Matthew,Pier Paolo Pasolini," Enrique Irazoqui, Margherita Caruso",1964,,http://www.imdb.com/title/tt0058715/,http://www.guardian.co.uk/film/movie/76223/gospel-according-to-st-matthew,Italy,
Drama,11,Aguirre Wrath of God,Werner Herzog," Cecilia Rivera, Klaus Kinski, Ruy Guerra",1972,,http://www.imdb.com/title/tt0068182/,http://www.guardian.co.uk/film/movie/82250/aguirre.wrath.of.god,Germany,
Drama,11,Pather Panchali,Satyajit Ray," Kanu Bannerjee, Karuna Bannerjee, Uma Das Gupta",1955,,http://www.imdb.com/title/tt0048473/,http://www.guardian.co.uk/film/movie/78996/pather.panchali,India,
Drama,13,The Conformist,Bernado Bertolucci,"Dominique Sanda, Gastone Moschin, Jean-Louis Trintignant, Louis Trintignant, Stefania Sandrelli",1970,,http://www.imdb.com/title/tt0065571/,http://www.guardian.co.uk/film/movie/36277/conformist,Italy,
Drama,14,Death in Venice,Luchino Visconti,"Bjorn Andresen, Dirk Bogarde, Marisa Berensen, Silvana Mangano",1971,,http://www.imdb.com/title/tt0067445/,http://www.guardian.co.uk/film/movie/85500/death.in.venice,Italy,
Drama,15,The Godfather Parts I and II,Francis Ford Coppola,"Al Lettieri, Al Pacino, Diane Keaton, James Caan, John Cazale, Marlon Brando, Robert Duvall, Talia Shire",1972,9 altogether,http://www.imdb.com/title/tt0068646/,http://www.guardian.co.uk/film/movie/36295/godfather,USA,
Drama,16,The Graduate,Mike Nichols,"Anne Bancroft, Dustin Hoffman, Katharine Ross, William Daniels",1967,1,http://www.imdb.com/title/tt0061722/,http://www.guardian.co.uk/film/movie/36264/graduate,USA,
Drama,16,There Will Be Blood,Paul Thomas Anderson," Daniel Day Lewis, Daniel Day-Lewis, Dillon Freasier, Kevin J O'Connor, Paul Dano",2007,2,http://www.imdb.com/title/tt0469494/,http://www.guardian.co.uk/film/movie/122167/there.will.be.blood,USA,
Drama,18,Battleship Potemkin,Sergei Eisenstein,"A Antonov, Alexandr Antonov, Grigori Alexandrov, Midhail Gomorov, Vladimir Barsky",1925,,http://www.imdb.com/title/tt0015648/,http://www.guardian.co.uk/film/movie/36125/battleship-potemki,Soviet Union,
Drama,19,Rules of the Game,Jean Renoir,"Nora Gregor, Paulette Dubost, Mila Parely.",1939,,http://www.imdb.com/title/tt0031885/,http://www.guardian.co.uk/film/movie/82918/rules-of-the-game,USA,
Drama,19,Shadows,,,,,,,,
Drama,21,Distant Voices Still Lives,Terence davies,"Angela Walsh, Dean Williams, Freda Dowie, Lorraine Ashbourne, Pete Postlethwaite",1988,,http://www.imdb.com/title/tt0095037/,http://www.guardian.co.uk/film/movie/36360/distant-voices-still-lives,UK,
